instance,n,scenario_file,scenario_type,n_failures,n_actions,target_total,target_achieved,target_recovery_pct,nominal_profit,adaptive_profit,profit_loss_pct,nominal_time,adaptive_time,time_diff_pct,nominal_score,adaptive_score,score_loss_pct,n_bypass,n_change_tool,n_destroy,n_replan,n_fallback,n_destroyed_comps,n_skipped_comps,grasp_time,adapt_time,error
dagtest,28,scenario_complex_dagtest.json,complex,2,4,1,1,100.0,333.0,302.0,9.3,2200.0,2015.0,8.4,103.67,93.95,9.4,1,0,1,0,2,0,1,0.066,0.05,
dagtest,28,scenario_intermediate_dagtest.json,intermediate,2,4,1,1,100.0,333.0,301.0,9.6,2200.0,1970.0,10.5,103.67,93.77,9.5,0,0,2,0,2,0,1,0.091,0.04,
dagtest,28,scenario_simple_dagtest.json,simple,1,1,1,1,100.0,333.0,319.0,4.2,2200.0,2120.0,3.6,103.67,99.27,4.2,1,0,0,0,0,0,1,0.126,0.019,
salbp_instance_n=1000_1_cut115,115,scenario_complex_salbp_instance_n=1000_1_cut115.json,complex,3,3,1,1,100.0,107.0,90.0,15.9,534.0,369.0,30.9,33.89,28.77,15.1,1,2,0,0,0,0,1,0.016,0.04,
salbp_instance_n=1000_1_cut115,115,scenario_intermediate_salbp_instance_n=1000_1_cut115.json,intermediate,2,4,1,1,100.0,107.0,66.0,38.3,534.0,249.0,53.4,33.89,21.17,37.5,0,0,2,0,2,0,2,0.015,0.034,
salbp_instance_n=1000_1_cut115,115,scenario_simple_salbp_instance_n=1000_1_cut115.json,simple,1,2,1,1,100.0,107.0,85.0,20.6,534.0,468.0,12.4,33.89,26.77,21.0,0,0,1,0,1,0,1,0.016,0.014,
salbp_instance_n=1000_1_cut124,124,scenario_complex_salbp_instance_n=1000_1_cut124.json,complex,3,4,1,1,100.0,305.0,262.0,14.1,2380.0,2246.0,5.6,93.73,79.85,14.8,3,0,0,0,1,0,2,0.056,0.051,
salbp_instance_n=1000_1_cut124,124,scenario_intermediate_salbp_instance_n=1000_1_cut124.json,intermediate,2,2,1,1,100.0,305.0,271.0,11.1,2380.0,2074.0,12.9,93.73,83.42,11.0,2,0,0,0,0,0,2,0.13,0.038,
salbp_instance_n=1000_1_cut124,124,scenario_simple_salbp_instance_n=1000_1_cut124.json,simple,1,2,1,1,100.0,305.0,291.0,4.6,2380.0,2127.0,10.6,93.73,89.91,4.1,0,0,1,0,1,0,1,0.055,0.014,
salbp_instance_n=1000_1_cut125,125,scenario_complex_salbp_instance_n=1000_1_cut125.json,complex,3,3,2,2,100.0,153.0,129.0,15.7,1223.0,1076.0,12.0,46.92,39.41,16.0,2,0,0,0,1,0,1,0.031,0.027,
salbp_instance_n=1000_1_cut125,125,scenario_intermediate_salbp_instance_n=1000_1_cut125.json,intermediate,2,3,2,2,100.0,153.0,109.0,28.8,1223.0,786.0,35.7,46.92,33.71,28.2,1,0,1,0,1,0,2,0.026,0.038,
